Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Product,700,"Futurama Hypnotoad Plush",physical,1775,,none,0,0,29.99,0.00,0.00,0.00,,1,26,"<p><span>Glorify the Hypnotoad by bringing him home in super cute plush form.</span> <span>A deluxe plush measuring 10-inches tall, this huggable softie was modeled after the character in the animated TV show Futurama, created by Matt Groening. No one knows this guy's origins, but it's speculated that he's an alien, mutant, or product of genetic engineering.&nbsp;</span></p>",,"Futurama Hypnotoad Plush Toy",/futurama-hypnotoad-plush/,"Futuram Hypnotoad Plush Toy","futurama, hypnotoad, plush, toy, frog, cute, toad, doll, toynami","futurama; hypnotoad; plush; toy; frog; cute; toad; doll; toynami",,8-16355-00770-6,,,FALSE,0.00,2.00,9.00,8.00,6.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/700/images/379/hypnotoad_01_121012__91095__49166.1750464104.386.513.jpg?c=1,,,TRUE,0,,,,
Product,701,"COMIKAZE 2013 Exclusive: Canmans RISK-OLEUM",physical,CC-2013-CanMan,,product,0,0,50.00,0.00,0.00,0.00,,1,26,"<p>Legendary graffiti artist RISK has created ""RISK-OLEUM"", his version of the vinyl Canman, created as an exclusive for Stan Lee&rsquo;s Comikaze 2013, and limited to 200! The Canmans are a series of vinyl figures focused on graffiti artists and the art of collecting spray paint cans.<br /><br />In a career spanning 30 years, RISK has impacted the evolution of graffiti as an art form in Los Angeles and worldwide. RISK gained major notoriety for his unique style and pushed the limits of graffiti further than any writer in L.A. had before: He was one of the first writers in Southern California to paint freight trains, and he pioneered writing on &ldquo;heavens,&rdquo; or freeway overpasses. At the peak of his career he took graffiti from the streets and into the gallery with the launch of the Third Rail series of art shows, and later parlayed the name into the first authentic line of graffiti-inspired clothing.<br /><br />Limited to 200 worldwide<br />Boxed Comikaze 2013 Exclusive<br />Moveable arms and detachable top pops off to reveal hollow storage inside<br />7&rdquo; tall</p>",,"Comikaze 2013 Exclusive RISK-OLEUM Canman",/comikaze-2013-exclusive-canmans-risk-oleum/,"Comikaze 2013 Exclusive RISK-OLEUM Canman","risk, canman, canmans, risk-oleum, graffiti, toy, collectible, exclusive, spray paint","canman; canmans; graffiti; collectible; exclusive; spray paint; rustoleum; third rail; risk; risky; riskrock; artist; kelly graval; comikaze; sdcc; comicon; toynami; stash; can",,,,CC-2013-CanMan,FALSE,0.00,2.00,9.00,8.00,6.00,FALSE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/376/risk_img_5909__10260__45072.1750464104.386.513.jpg?c=1,,,TRUE,0,,,,
Image,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/384/risk_img_5914__47946__77428.1750464105.386.513.jpg?c=1,,,FALSE,1,,,,
Image,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/399/risk_img_5911__84199__30181.1750464105.386.513.jpg?c=1,,,FALSE,2,,,,
Image,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/413/risk_img_5916__74682__97238.1750464106.386.513.jpg?c=1,,,FALSE,3,,,,
Image,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/423/risk_img_5931__12022__08787.1750464106.386.513.jpg?c=1,,,FALSE,4,,,,
Image,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/433/risk_img_5932__65407__61537.1750464106.386.513.jpg?c=1,,,FALSE,5,,,,
Image,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-el8tinzl5q/products/701/images/440/risk_img_5933__75841__16493.1750464107.386.513.jpg?c=1,,,FALSE,6,,,,
